Character,Lv,Rarity,Element,Weapon,Main role,Ascension,BaseHP,BaseATK,BaseDEF,Bossfight
Xinyan,60,4,Pyro,Claymore,Support,ATK,7379,164,526,1
Xinyan,60,4,Pyro,Claymore,Support,ATK,7878,175,562,1
Xinyan,70,4,Pyro,Claymore,Support,ATK,8653,192,617,1
Xinyan,70,4,Pyro,Claymore,Support,ATK,9151,203,652,1
Xinyan,80,4,Pyro,Claymore,Support,ATK,9927,220,708,1
Xinyan,80,4,Pyro,Claymore,Support,ATK,10425,231,743,1
Xinyan,90,4,Pyro,Claymore,Support,ATK,11201,249,799,1
Ganyu,1,5,Cryo,Bow,DPS,CRIT DMG,763,26,49,0
Ganyu,20,5,Cryo,Bow,DPS,CRIT DMG,1978,68,127,0
Ganyu,20,5,Cryo,Bow,DPS,CRIT DMG,2632,90,169,0
Ganyu,40,5,Cryo,Bow,DPS,CRIT DMG,3939,135,253,0
Ganyu,40,5,Cryo,Bow,DPS,CRIT DMG,4403,151,283,0
Ganyu,50,5,Cryo,Bow,DPS,CRIT DMG,5066,173,326,0
Ganyu,50,5,Cryo,Bow,DPS,CRIT DMG,5686,194,366,0
Ganyu,60,5,Cryo,Bow,DPS,CRIT DMG,6355,217,409,1
Ganyu,60,5,Cryo,Bow,DPS,CRIT DMG,6820,233,439,1
Ganyu,70,5,Cryo,Bow,DPS,CRIT DMG,7495,256,482,1
Ganyu,70,5,Cryo,Bow,DPS,CRIT DMG,7960,272,512,1
Ganyu,80,5,Cryo,Bow,DPS,CRIT DMG,8643,295,556,1
Ganyu,80,5,Cryo,Bow,DPS,CRIT DMG,9108,311,586,1
Ganyu,90,5,Cryo,Bow,DPS,CRIT DMG,9797,335,630,1
Albedo,1,5,Geo,Sword,Support,Geo DMG,1030,20,68,0
Albedo,20,5,Geo,Sword,Support,Geo DMG,2671,51,177,0
Albedo,20,5,Geo,Sword,Support,Geo DMG,3554,67,235,0
Albedo,40,5,Geo,Sword,Support,Geo DMG,5317,101,352,0
Albedo,40,5,Geo,Sword,Support,Geo DMG,5944,113,394,0
Albedo,50,5,Geo,Sword,Support,Geo DMG,6839,130,453,0
Albedo,50,5,Geo,Sword,Support,Geo DMG,7675,146,508,0
Albedo,60,5,Geo,Sword,Support,Geo DMG,8579,163,568,1
Albedo,60,5,Geo,Sword,Support,Geo DMG,9207,175,610,1
Albedo,70,5,Geo,Sword,Support,Geo DMG,10119,192,670,1
Albedo,70,5,Geo,Sword,Support,Geo DMG,10746,204,712,1
Albedo,80,5,Geo,Sword,Support,Geo DMG,11669,222,773,1
Albedo,80,5,Geo,Sword,Support,Geo DMG,12296,233,815,1
Albedo,90,5,Geo,Sword,Support,Geo DMG,13226,251,876,1
Rosaria,1,4,Cryo,Polearm,DPS,ATK,1030,20,60,0
Rosaria,20,4,Cryo,Polearm,DPS,ATK,2647,52,153,0
Rosaria,20,4,Cryo,Polearm,DPS,ATK,3417,67,197,0
Rosaria,40,4,Cryo,Polearm,DPS,ATK,5118,100,296,0
Rosaria,40,4,Cryo,Polearm,DPS,ATK,5665,111,327,0
Rosaria,50,4,Cryo,Polearm,DPS,ATK,6516,127,376,0
Rosaria,50,4,Cryo,Polearm,DPS,ATK,7245,141,418,0
Rosaria,60,4,Cryo,Polearm,DPS,ATK,8096,158,468,1
Rosaria,60,4,Cryo,Polearm,DPS,ATK,8643,169,499,1
Rosaria,70,4,Cryo,Polearm,DPS,ATK,9493,185,548,1
Rosaria,70,4,Cryo,Polearm,DPS,ATK,10040,196,580,1
Rosaria,80,4,Cryo,Polearm,DPS,ATK,10891,213,629,1
Rosaria,80,4,Cryo,Polearm,DPS,ATK,11438,223,661,1
Rosaria,90,4,Cryo,Polearm,DPS,ATK,12289,240,710,1
Ayaka,1,5,Cryo,Sword,DPS,CRIT DMG,1001,27,61,0
Ayaka,20,5,Cryo,Sword,DPS,CRIT DMG,2597,69,158,0
Ayaka,20,5,Cryo,Sword,DPS,CRIT DMG,3455,92,211,0
Ayaka,40,5,Cryo,Sword,DPS,CRIT DMG,5170,138,315,0
Ayaka,40,5,Cryo,Sword,DPS,CRIT DMG,5779,154,352,0
Ayaka,50,5,Cryo,Sword,DPS,CRIT DMG,6649,177,405,0
Ayaka,50,5,Cryo,Sword,DPS,CRIT DMG,7462,198,455,0
Ayaka,60,5,Cryo,Sword,DPS,CRIT DMG,8341,222,509,1
Ayaka,60,5,Cryo,Sword,DPS,CRIT DMG,8951,238,546,1
Ayaka,70,5,Cryo,Sword,DPS,CRIT DMG,9838,262,600,1
Ayaka,70,5,Cryo,Sword,DPS,CRIT DMG,10448,278,637,1
Ayaka,80,5,Cryo,Sword,DPS,CRIT DMG,11345,302,692,1
Ayaka,80,5,Cryo,Sword,DPS,CRIT DMG,11954,318,729,1
Ayaka,90,5,Cryo,Sword,DPS,CRIT DMG,12858,342,784,1
Hutao,1,5,Pyro,Polearm,DPS,CRIT DMG,1211,8,68,0
Hutao,20,5,Pyro,Polearm,DPS,CRIT DMG,3141,21,177,0
Hutao,20,5,Pyro,Polearm,DPS,CRIT DMG,4179,29,235,0
Hutao,40,5,Pyro,Polearm,DPS,CRIT DMG,6253,43,352,0
Hutao,40,5,Pyro,Polearm,DPS,CRIT DMG,6990,48,394,0
Hutao,50,5,Pyro,Polearm,DPS,CRIT DMG,8042,55,453,0
Hutao,50,5,Pyro,Polearm,DPS,CRIT DMG,9026,62,508,0
Hutao,60,5,Pyro,Polearm,DPS,CRIT DMG,10089,69,568,1
Hutao,60,5,Pyro,Polearm,DPS,CRIT DMG,10826,74,610,1
Hutao,70,5,Pyro,Polearm,DPS,CRIT DMG,11899,81,670,1
Hutao,70,5,Pyro,Polearm,DPS,CRIT DMG,12637,86,712,1
Hutao,80,5,Pyro,Polearm,DPS,CRIT DMG,13721,94,773,1
Hutao,80,5,Pyro,Polearm,DPS,CRIT DMG,14459,99,815,1
Hutao,90,5,Pyro,Polearm,DPS,CRIT DMG,15552,106,876,1
Yanfei,1,4,Pyro,Catalyst,DPS,Pyro DMG,784,20,49,0
Yanfei,20,4,Pyro,Catalyst,DPS,Pyro DMG,2014,52,126,0
Yanfei,20,4,Pyro,Catalyst,DPS,Pyro DMG,2600,67,163,0
Yanfei,40,4,Pyro,Catalyst,DPS,Pyro DMG,3895,100,244,0
Yanfei,40,4,Pyro,Catalyst,DPS,Pyro DMG,4311,111,271,0
Yanfei,50,4,Pyro,Catalyst,DPS,Pyro DMG,4959,127,311,0
Yanfei,50,4,Pyro,Catalyst,DPS,Pyro DMG,5514,141,346,0
Yanfei,60,4,Pyro,Catalyst,DPS,Pyro DMG,6161,158,387,1
Yanfei,60,4,Pyro,Catalyst,DPS,Pyro DMG,6578,169,413,1
Yanfei,70,4,Pyro,Catalyst,DPS,Pyro DMG,7225,185,453,1
Yanfei,70,4,Pyro,Catalyst,DPS,Pyro DMG,7641,196,480,1
Yanfei,80,4,Pyro,Catalyst,DPS,Pyro DMG,8289,213,520,1
Yanfei,80,4,Pyro,Catalyst,DPS,Pyro DMG,8705,223,546,1
Yanfei,90,4,Pyro,Catalyst,DPS,Pyro DMG,9352,240,587,1
Eula,1,5,Cryo,Claymore,DPS,CRIT DMG,1030,27,58,0
Eula,20,5,Cryo,Claymore,DPS,CRIT DMG,2671,69,152,0
Eula,20,5,Cryo,Claymore,DPS,CRIT DMG,3554,92,202,0
Eula,40,5,Cryo,Claymore,DPS,CRIT DMG,5317,138,302,0
Eula,40,5,Cryo,Claymore,DPS,CRIT DMG,5944,154,337,0
Eula,50,5,Cryo,Claymore,DPS,CRIT DMG,6839,177,388,0
Eula,50,5,Cryo,Claymore,DPS,CRIT DMG,7675,198,436,0
Eula,60,5,Cryo,Claymore,DPS,CRIT DMG,8579,222,487,1
Eula,60,5,Cryo,Claymore,DPS,CRIT DMG,9207,238,523,1
Eula,70,5,Cryo,Claymore,DPS,CRIT DMG,10119,262,574,1
Eula,70,5,Cryo,Claymore,DPS,CRIT DMG,10746,278,610,1
Eula,80,5,Cryo,Claymore,DPS,CRIT DMG,11669,302,662,1
Eula,80,5,Cryo,Claymore,DPS,CRIT DMG,12296,318,698,1
Eula,90,5,Cryo,Claymore,DPS,CRIT DMG,13226,342,751,1
Kazuha,1,5,Anemo,Sword,Support,Elemental Mastery,1039,23,63,0
Kazuha,20,5,Anemo,Sword,Support,Elemental Mastery,2695,60,163,0
Kazuha,20,5,Anemo,Sword,Support,Elemental Mastery,3586,80,217,0
Kazuha,40,5,Anemo,Sword,Support,Elemental Mastery,5366,119,324,0
Kazuha,40,5,Anemo,Sword,Support,Elemental Mastery,5999,133,363,0
Kazuha,50,5,Anemo,Sword,Support,Elemental Mastery,6902,153,417,0
Kazuha,50,5,Anemo,Sword,Support,Elemental Mastery,7747,172,468,0
Kazuha,60,5,Anemo,Sword,Support,Elemental Mastery,8659,192,523,1
Kazuha,60,5,Anemo,Sword,Support,Elemental Mastery,9292,206,562,1
Kazuha,70,5,Anemo,Sword,Support,Elemental Mastery,10213,227,617,1
Kazuha,70,5,Anemo,Sword,Support,Elemental Mastery,10846,241,656,1
Kazuha,80,5,Anemo,Sword,Support,Elemental Mastery,11777,262,712,1
Kazuha,80,5,Anemo,Sword,Support,Elemental Mastery,12410,276,750,1
Kazuha,90,5,Anemo,Sword,Support,Elemental Mastery,13348,297,807,1
Yoimiya,1,5,Pyro,Bow,DPS,CRIT Rate,791,25,48,0
Yoimiya,20,5,Pyro,Bow,DPS,CRIT Rate,2053,65,124,0
Yoimiya,20,5,Pyro,Bow,DPS,CRIT Rate,2731,87,165,0
Yoimiya,40,5,Pyro,Bow,DPS,CRIT Rate,4086,130,247,0
Yoimiya,40,5,Pyro,Bow,DPS,CRIT Rate,4568,145,276,0
Yoimiya,50,5,Pyro,Bow,DPS,CRIT Rate,5256,167,318,0
Yoimiya,50,5,Pyro,Bow,DPS,CRIT Rate,5899,187,357,0
Yoimiya,60,5,Pyro,Bow,DPS,CRIT Rate,6593,209,399,1
Yoimiya,60,5,Pyro,Bow,DPS,CRIT Rate,7075,225,428,1
Yoimiya,70,5,Pyro,Bow,DPS,CRIT Rate,7777,247,470,1
Yoimiya,70,5,Pyro,Bow,DPS,CRIT Rate,8259,262,500,1
Yoimiya,80,5,Pyro,Bow,DPS,CRIT Rate,8968,285,542,1
Yoimiya,80,5,Pyro,Bow,DPS,CRIT Rate,9450,300,572,1
Yoimiya,90,5,Pyro,Bow,DPS,CRIT Rate,10164,323,615,1
Sayu,1,4,Anemo,Claymore,Healer,Elemental Mastery,994,20,62,0
Sayu,20,4,Anemo,Claymore,Healer,Elemental Mastery,2553,53,160,0
Sayu,20,4,Anemo,Claymore,Healer,Elemental Mastery,3296,68,207,0
Sayu,40,4,Anemo,Claymore,Healer,Elemental Mastery,4937,102,310,0
Sayu,40,4,Anemo,Claymore,Healer,Elemental Mastery,5464,113,343,0
Sayu,50,4,Anemo,Claymore,Healer,Elemental Mastery,6285,130,395,0
Sayu,50,4,Anemo,Claymore,Healer,Elemental Mastery,6988,144,439,0
Sayu,60,4,Anemo,Claymore,Healer,Elemental Mastery,7809,161,491,1
Sayu,60,4,Anemo,Claymore,Healer,Elemental Mastery,8337,172,524,1
Sayu,70,4,Anemo,Claymore,Healer,Elemental Mastery,9157,189,575,1
Sayu,70,4,Anemo,Claymore,Healer,Elemental Mastery,9684,200,608,1
Sayu,80,4,Anemo,Claymore,Healer,Elemental Mastery,10505,216,660,1
Sayu,80,4,Anemo,Claymore,Healer,Elemental Mastery,11033,227,693,1
Sayu,90,4,Anemo,Claymore,Healer,Elemental Mastery,11854,244,745,1
Traveler,1,5,All,Sword,Support,ATK,912,18,57,0
Traveler,20,5,All,Sword,Support,ATK,2342,46,147,0
Traveler,20,5,All,Sword,Support,ATK,3024,59,190,0
Traveler,40,5,All,Sword,Support,ATK,4529,88,284,0
Traveler,40,5,All,Sword,Support,ATK,5013,98,315,0
Traveler,50,5,All,Sword,Support,ATK,5766,113,362,0
Traveler,50,5,All,Sword,Support,ATK,6411,125,402,0
Traveler,60,5,All,Sword,Support,ATK,7164,140,450,1
Traveler,60,5,All,Sword,Support,ATK,7648,149,480,1
Traveler,70,5,All,Sword,Support,ATK,8401,164,527,1
Traveler,70,5,All,Sword,Support,ATK,8885,174,558,1
Traveler,80,5,All,Sword,Support,ATK,9638,188,605,1
Traveler,80,5,All,Sword,Support,ATK,10122,198,635,1
Traveler,90,5,All,Sword,Support,ATK,10875,212,683,1
Shogun,1,5,Electro,Polearm,Sub DPS,Energy Recharge,1005,26,61,0
Shogun,20,5,Electro,Polearm,Sub DPS,Energy Recharge,2606,68,159,0
Shogun,20,5,Electro,Polearm,Sub DPS,Energy Recharge,3468,91,212,0
Shogun,40,5,Electro,Polearm,Sub DPS,Energy Recharge,5189,136,317,0
Shogun,40,5,Electro,Polearm,Sub DPS,Energy Recharge,5801,152,355,0
Shogun,50,5,Electro,Polearm,Sub DPS,Energy Recharge,6675,174,408,0
Shogun,50,5,Electro,Polearm,Sub DPS,Energy Recharge,7491,196,458,0
Shogun,60,5,Electro,Polearm,Sub DPS,Energy Recharge,8373,219,512,1
Shogun,60,5,Electro,Polearm,Sub DPS,Energy Recharge,8985,235,549,1
Shogun,70,5,Electro,Polearm,Sub DPS,Energy Recharge,9875,258,604,1
Shogun,70,5,Electro,Polearm,Sub DPS,Energy Recharge,10487,274,641,1
Shogun,80,5,Electro,Polearm,Sub DPS,Energy Recharge,11388,298,696,1
Shogun,80,5,Electro,Polearm,Sub DPS,Energy Recharge,12000,314,734,1
Shogun,90,5,Electro,Polearm,Sub DPS,Energy Recharge,12907,337,789,1
Aloy,1,5,Cryo,Bow,DPS,Cryo DMG,848,18,53,0
Aloy,20,5,Cryo,Bow,DPS,Cryo DMG,2201,47,137,0
Aloy,20,5,Cryo,Bow,DPS,Cryo DMG,2928,63,182,0
Aloy,40,5,Cryo,Bow,DPS,Cryo DMG,4382,94,272,0
Aloy,40,5,Cryo,Bow,DPS,Cryo DMG,4899,105,304,0
Aloy,50,5,Cryo,Bow,DPS,Cryo DMG,5636,121,350,0
Aloy,50,5,Cryo,Bow,DPS,Cryo DMG,6325,136,393,0
Aloy,60,5,Cryo,Bow,DPS,Cryo DMG,7070,152,439,1
Aloy,60,5,Cryo,Bow,DPS,Cryo DMG,7587,163,471,1
Aloy,70,5,Cryo,Bow,DPS,Cryo DMG,8339,179,517,1
Aloy,70,5,Cryo,Bow,DPS,Cryo DMG,8856,190,550,1
Aloy,80,5,Cryo,Bow,DPS,Cryo DMG,9616,206,597,1
Aloy,80,5,Cryo,Bow,DPS,Cryo DMG,10133,217,629,1
Aloy,90,5,Cryo,Bow,DPS,Cryo DMG,10899,234,676,1
Sara,1,4,Electro,Bow,Support,ATK,802,16,53,0
Sara,20,4,Electro,Bow,Support,ATK,2061,42,135,0
Sara,20,4,Electro,Bow,Support,ATK,2661,54,175,0
Sara,40,4,Electro,Bow,Support,ATK,3985,81,262,0
Sara,40,4,Electro,Bow,Support,ATK,4411,90,289,0
Sara,50,4,Electro,Bow,Support,ATK,5074,104,333,0
Sara,50,4,Electro,Bow,Support,ATK,5642,115,370,0
Sara,60,4,Electro,Bow,Support,ATK,6305,129,414,1
Sara,60,4,Electro,Bow,Support,ATK,6731,137,442,1
Sara,70,4,Electro,Bow,Support,ATK,7393,151,485,1
Sara,70,4,Electro,Bow,Support,ATK,7818,160,513,1
Sara,80,4,Electro,Bow,Support,ATK,8481,173,556,1
Sara,80,4,Electro,Bow,Support,ATK,8907,182,584,1
Sara,90,4,Electro,Bow,Support,ATK,9570,195,628,1
Kokomi,1,5,Hydro,Catalyst,Healer,Hydro DMG,1049,18,51,0
Kokomi,20,5,Hydro,Catalyst,Healer,Hydro DMG,2720,47,133,0
Kokomi,20,5,Hydro,Catalyst,Healer,Hydro DMG,3619,63,177,0
Kokomi,40,5,Hydro,Catalyst,Healer,Hydro DMG,5416,94,264,0
Kokomi,40,5,Hydro,Catalyst,Healer,Hydro DMG,6055,105,295,0
Kokomi,50,5,Hydro,Catalyst,Healer,Hydro DMG,6966,121,340,0
Kokomi,50,5,Hydro,Catalyst,Healer,Hydro DMG,7818,136,381,0
Kokomi,60,5,Hydro,Catalyst,Healer,Hydro DMG,8738,152,426,1
Kokomi,60,5,Hydro,Catalyst,Healer,Hydro DMG,9377,163,457,1
Kokomi,70,5,Hydro,Catalyst,Healer,Hydro DMG,10306,179,503,1
Kokomi,70,5,Hydro,Catalyst,Healer,Hydro DMG,10945,190,534,1
Kokomi,80,5,Hydro,Catalyst,Healer,Hydro DMG,11885,207,580,1
Kokomi,80,5,Hydro,Catalyst,Healer,Hydro DMG,12524,218,611,1
Kokomi,90,5,Hydro,Catalyst,Healer,Hydro DMG,13471,234,657,1
